Research_ID,Canonical_English_Text,True_Label,Predicted_Label,Source_Group_ID,Fold,prob_Administrative___Procedural___Integrity,prob_Lease_Revenue___Payment___Enforcement,prob_Protected___Environmental_Lease_Misuse,prob_Unauthorized_Allocation___Transfer___Use
STATE-LEASE-001,Allegation that state land obtained on a 99-year lease for cultivation was subdivided and sold to a private property company.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,https://srilankamirror.com/biz/prime-lands-the-few-nawala-property-under-ciaboc-scrutiny/,3,0.2366,0.1952,0.1885,0.3797
STATE-LEASE-002,Allegation that government suffered a loss of approximately LKR 29 million when the land was leased in breach of procurement requirements.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,https://ciaboc.gov.lk/media-centre/latest-news/1519-former-uda-director-general-and-former-director-lands-arrested-on-corruption-allegations,2,0.2567,0.2411,0.2139,0.2883
STATE-LEASE-003,Allegation that National Housing Development Authority land was leased at a very low rent without Cabinet approval.,Lease Revenue / Payment / Enforcement,Unauthorized Allocation / Transfer / Use,https://www.parliament.lk/en/home/parliament-news/view/5287,3,0.2409,0.218,0.1934,0.3476
STATE-LEASE-004,Allegation that protected land was supported by forged deeds and leased to private companies for filling or reclamation.,Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,UNIQUE-STATE-LEASE-004,1,0.2006,0.1583,0.3466,0.2945
STATE-LEASE-005,Allegation that commercial stalls built on state land were leased at low rates mainly to politically connected parties.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,UNIQUE-STATE-LEASE-005,1,0.2053,0.2038,0.2516,0.3393
STATE-LEASE-006,Allegation that state land around the Sri Dalada Maligawa historic precinct was allocated for commercial activities without required approval.,Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,UNIQUE-STATE-LEASE-006,4,0.2501,0.1444,0.3048,0.3006
STATE-LEASE-007,Allegation that a public official accepted a bribe in connection with leasing government land for gem-mining activities.,Administrative / Procedural / Integrity,Protected / Environmental Lease Misuse,UNIQUE-STATE-LEASE-007,4,0.2449,0.241,0.2782,0.2358
STATE-LEASE-008,Allegation that officials concealed the failure of companies leasing government land to pay lease rentals for several years.,Lease Revenue / Payment / Enforcement,Administrative / Procedural / Integrity,UNIQUE-STATE-LEASE-008,1,0.305,0.2701,0.1784,0.2465
STATE-LEASE-009,Allegation that Land Reform Commission land was illegally subdivided and leased.,Unauthorized Allocation / Transfer / Use,Protected / Environmental Lease Misuse,UNIQUE-STATE-LEASE-009,2,0.2055,0.19,0.342,0.2624
STATE-LEASE-010,Allegation that government land reserved for cultivation was secretly leased for commercial buildings.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,UNIQUE-STATE-LEASE-010,3,0.2162,0.197,0.2049,0.382
STATE-LEASE-011,Allegation that parcels of government land were sold to private entrepreneurs under fraudulent lease-right claims.,Unauthorized Allocation / Transfer / Use,Unauthorized Allocation / Transfer / Use,UNIQUE-STATE-LEASE-011,5,0.2635,0.2054,0.2288,0.3023
STATE-LEASE-012,Allegation that Mahaweli land was transferred to businesses using fraudulent lease permits.,Administrative / Procedural / Integrity,Unauthorized Allocation / Transfer / Use,UNIQUE-STATE-LEASE-012,2,0.2174,0.1946,0.2828,0.3052
STATE-LEASE-013,Allegation that forest-reserve land was made available for hotels using fraudulent lease agreements.,Protected / Environmental Lease Misuse,Administrative / Procedural / Integrity,UNIQUE-STATE-LEASE-013,4,0.3204,0.2188,0.2492,0.2116
STATE-LEASE-014,Allegation that state land in a coastal area was illegally granted to foreign parties on long-term leases.,Protected / Environmental Lease Misuse,Unauthorized Allocation / Transfer / Use,UNIQUE-STATE-LEASE-014,3,0.2203,0.1839,0.2844,0.3115
STATE-LEASE-015,Allegation that land associated with a wildlife zone was secretly leased for tourist-resort development.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,UNIQUE-STATE-LEASE-015,3,0.2137,0.1743,0.3491,0.263
STATE-LEASE-016,Allegation that state riverbank land was illegally leased for tourism or recreational activities.,Protected / Environmental Lease Misuse,Protected / Environmental Lease Misuse,UNIQUE-STATE-LEASE-016,5,0.2404,0.1728,0.3111,0.2757
STATE-LEASE-017,Allegation that state revenue was substantially understated or reduced in the leasing of islands for tourism projects.,Lease Revenue / Payment / Enforcement,Protected / Environmental Lease Misuse,UNIQUE-STATE-LEASE-017,4,0.273,0.1827,0.2951,0.2492
